Date : 2022-08-21 20:03:34
Directory : d:\Support\support
Total : 168 files,  14953 codes, 1321 comments, 3023 blanks, all 19297 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\main\resources\static\Time\css                                                               |         10 |      7,404 |         21 |        822 |      8,247 |
| src\main\resources\static\Time\css\bootstrap                                                     |          7 |         21 |          0 |          8 |         29 |
| src\main\resources\static\Time\css\bootstrap\mixins                                              |          5 |          0 |          0 |          5 |          5 |
| src\main\resources\static\Time\css\bootstrap\utilities                                           |          1 |         10 |          0 |          1 |         11 |
| src\main\resources\static\Time\js                                                                |          6 |         30 |         55 |         15 |        100 |
| src\main\resources\static\Time\scss                                                              |         90 |      5,416 |      1,137 |      1,396 |      7,949 |
| src\main\resources\static\Time\scss\bootstrap                                                    |         89 |      5,344 |      1,134 |      1,388 |      7,866 |
| src\main\resources\static\Time\scss\bootstrap\mixins                                             |         31 |        811 |        166 |        159 |      1,136 |
| src\main\resources\static\Time\scss\bootstrap\utilities                                          |         17 |        338 |         57 |        105 |        500 |
| src\main\resources\static\Time\scss\bootstrap\vendor                                             |          1 |        126 |         43 |         36 |        205 |
| src\main\resources\static\css                                                                    |          3 |        109 |         10 |         17 |        136 |
| src\main\resources\static\js                                                                     |          1 |          1 |         25 |          0 |         26 |
| src\main\resources\templates                                                                     |         12 |        684 |          1 |        259 |        944 |
| src\test                                                                                         |          1 |         63 |          0 |         21 |         84 |
| src\test\java                                                                                    |          1 |         63 |          0 |         21 |         84 |
| src\test\java\com                                                                                |          1 |         63 |          0 |         21 |         84 |
| src\test\java\com\support                                                                        |          1 |         63 |          0 |         21 |         84 |
| src\test\java\com\support\support                                                                |          1 |         63 |          0 |         21 |         84 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                         | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Support\support\.mvn\wrapper\maven-wrapper.properties                                         | Properties |          2 |          0 |          1 |          3 |
| d:\Support\support\mvnw.cmd                                                                      | Batch      |        102 |         51 |         36 |        189 |
| d:\Support\support\pom.xml                                                                       | XML        |         93 |          0 |         11 |        104 |
| d:\Support\support\src\main\java\com\support\Contollers\AdminController.java                     | Java       |        122 |          1 |         48 |        171 |
| d:\Support\support\src\main\java\com\support\Contollers\SupportController.java                   | Java       |        130 |          1 |         58 |        189 |
| d:\Support\support\src\main\java\com\support\Entitis\Admin.java                                  | Java       |         19 |          0 |         10 |         29 |
| d:\Support\support\src\main\java\com\support\Entitis\Breakdown.java                              | Java       |         17 |          0 |          4 |         21 |
| d:\Support\support\src\main\java\com\support\Entitis\Machine.java                                | Java       |         33 |          0 |          9 |         42 |
| d:\Support\support\src\main\java\com\support\Entitis\MachineFamily.java                          | Java       |         29 |          0 |          7 |         36 |
| d:\Support\support\src\main\java\com\support\Entitis\Resever.java                                | Java       |         22 |          0 |         12 |         34 |
| d:\Support\support\src\main\java\com\support\Entitis\Ticket.java                                 | Java       |         51 |          0 |         14 |         65 |
| d:\Support\support\src\main\java\com\support\Entitis\User.java                                   | Java       |         35 |          1 |          4 |         40 |
| d:\Support\support\src\main\java\com\support\Enums\Level.java                                    | Java       |          4 |          0 |          2 |          6 |
| d:\Support\support\src\main\java\com\support\Enums\Status.java                                   | Java       |          4 |          0 |          2 |          6 |
| d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketComparatorDate.java            | Java       |          9 |          0 |          7 |         16 |
| d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketComparatorLevel.java           | Java       |          9 |          0 |          7 |         16 |
| d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketComparatorStatus.java          | Java       |          9 |          0 |          6 |         15 |
| d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketProxyrPage.java                | Java       |         20 |          0 |         12 |         32 |
| d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketRepositrieProxyFilter.java     | Java       |         29 |          0 |         11 |         40 |
| d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketRepositrieProxySort.java       | Java       |         26 |          0 |         18 |         44 |
| d:\Support\support\src\main\java\com\support\Repositories\BreakdownRepositorie.java              | Java       |          7 |          0 |          3 |         10 |
| d:\Support\support\src\main\java\com\support\Repositories\MachineFamilyRepositorie.java          | Java       |          9 |          0 |          4 |         13 |
| d:\Support\support\src\main\java\com\support\Repositories\MachineRepositorie.java                | Java       |          7 |          0 |          3 |         10 |
| d:\Support\support\src\main\java\com\support\Repositories\ReseverRepository.java                 | Java       |          7 |          0 |          4 |         11 |
| d:\Support\support\src\main\java\com\support\Repositories\TicketRepositrie.java                  | Java       |         24 |          0 |         15 |         39 |
| d:\Support\support\src\main\java\com\support\Repositories\UserRepositorie.java                   | Java       |          8 |          0 |          4 |         12 |
| d:\Support\support\src\main\java\com\support\Services\BreakDownService.java                      | Java       |         23 |          0 |          8 |         31 |
| d:\Support\support\src\main\java\com\support\Services\MachineFamilyService.java                  | Java       |         25 |          0 |          9 |         34 |
| d:\Support\support\src\main\java\com\support\Services\MachineService.java                        | Java       |         27 |          0 |         11 |         38 |
| d:\Support\support\src\main\java\com\support\Services\TicketService.java                         | Java       |         71 |          0 |         37 |        108 |
| d:\Support\support\src\main\java\com\support\Services\UserService.java                           | Java       |         30 |          0 |         14 |         44 |
| d:\Support\support\src\main\java\com\support\Services\UserWraper.java                            | Java       |         37 |          3 |         22 |         62 |
| d:\Support\support\src\main\java\com\support\Servicesinterfaces\BreakdownInterface.java          | Java       |          8 |          0 |          3 |         11 |
| d:\Support\support\src\main\java\com\support\Servicesinterfaces\MachineFamilyInterface.java      | Java       |          9 |          0 |          4 |         13 |
| d:\Support\support\src\main\java\com\support\Servicesinterfaces\MachineInterface.java            | Java       |         10 |          0 |          3 |         13 |
| d:\Support\support\src\main\java\com\support\Servicesinterfaces\ReseverInterface.java            | Java       |          6 |          0 |          3 |          9 |
| d:\Support\support\src\main\java\com\support\Servicesinterfaces\TicketInterface.java             | Java       |         23 |          0 |          9 |         32 |
| d:\Support\support\src\main\java\com\support\Servicesinterfaces\UserInterface.java               | Java       |          9 |          0 |          4 |         13 |
| d:\Support\support\src\main\java\com\support\SupportApplication.java                             | Java       |         13 |          0 |          2 |         15 |
| d:\Support\support\src\main\java\com\support\Utils\ExcelGenerator.java                           | Java       |          0 |          0 |          1 |          1 |
| d:\Support\support\src\main\java\com\support\Utils\Utils.java                                    | Java       |         29 |          0 |         11 |         40 |
| d:\Support\support\src\main\java\com\support\security\SecurityConfiguration.java                 | Java       |         33 |         15 |          8 |         56 |
| d:\Support\support\src\main\java\com\support\security\SupportUserDetails.java                    | Java       |         42 |          0 |         24 |         66 |
| d:\Support\support\src\main\java\com\support\security\UserDetailsServiceImp.java                 | Java       |         19 |          0 |          6 |         25 |
| d:\Support\support\src\main\resources\application.properties                                     | Properties |          5 |          0 |          2 |          7 |
| d:\Support\support\src\main\resources\static\Time\css\bootstrap-datetimepicker.min.css           | CSS        |          1 |          9 |          1 |         11 |
| d:\Support\support\src\main\resources\static\Time\css\bootstrap.min.css                          | CSS        |          1 |          6 |          0 |          7 |
| d:\Support\support\src\main\resources\static\Time\css\bootstrap\_media.css                       | CSS        |         11 |          0 |          2 |         13 |
| d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_badge.css                | CSS        |          0 |          0 |          1 |          1 |
| d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_border-radius.css        | CSS        |          0 |          0 |          1 |          1 |
| d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_grid-framework.css       | CSS        |          0 |          0 |          1 |          1 |
| d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_screen-reader.css        | CSS        |          0 |          0 |          1 |          1 |
| d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_visibility.css           | CSS        |          0 |          0 |          1 |          1 |
| d:\Support\support\src\main\resources\static\Time\css\bootstrap\utilities\_stretched-link.css    | CSS        |         10 |          0 |          1 |         11 |
| d:\Support\support\src\main\resources\static\Time\css\style.css                                  | CSS        |      7,381 |          6 |        813 |      8,200 |
| d:\Support\support\src\main\resources\static\Time\js\bootstrap-datetimepicker.min.js             | JavaScript |          1 |         39 |          1 |         41 |
| d:\Support\support\src\main\resources\static\Time\js\bootstrap.min.js                            | JavaScript |          1 |          6 |          0 |          7 |
| d:\Support\support\src\main\resources\static\Time\js\jquery.min.js                               | JavaScript |          1 |          1 |          0 |          2 |
| d:\Support\support\src\main\resources\static\Time\js\main.js                                     | JavaScript |         21 |          0 |         13 |         34 |
| d:\Support\support\src\main\resources\static\Time\js\moment-with-locales.min.js                  | JavaScript |          5 |          5 |          1 |         11 |
| d:\Support\support\src\main\resources\static\Time\js\popper.js                                   | JavaScript |          1 |          4 |          0 |          5 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_alert.scss                     | SCSS       |         28 |         13 |         11 |         52 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_badge.scss                     | SCSS       |         34 |         12 |          9 |         55 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_breadcrumb.scss                | SCSS       |         29 |          8 |          5 |         42 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_button-group.scss              | SCSS       |        101 |         31 |         32 |        164 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_buttons.scss                   | SCSS       |         87 |         22 |         29 |        138 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_card.scss                      | SCSS       |        202 |         34 |         54 |        290 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_carousel.scss                  | SCSS       |        142 |         30 |         26 |        198 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_close.scss                     | SCSS       |         27 |          8 |          7 |         42 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_code.scss                      | SCSS       |         36 |          6 |          7 |         49 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_custom-forms.scss              | SCSS       |        388 |         45 |         75 |        508 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_dropdown.scss                  | SCSS       |        152 |         16 |         24 |        192 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_forms.scss                     | SCSS       |        206 |         71 |         54 |        331 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_functions.scss                 | SCSS       |         54 |         19 |         14 |         87 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_grid.scss                      | SCSS       |         28 |         15 |         10 |         53 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_images.scss                    | SCSS       |         22 |         13 |          8 |         43 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_input-group.scss               | SCSS       |        129 |         32 |         33 |        194 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_jumbotron.scss                 | SCSS       |         15 |          0 |          3 |         18 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_list-group.scss                | SCSS       |         94 |         25 |         31 |        150 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_media.scss                     | SCSS       |          7 |          0 |          2 |          9 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_mixins.scss                    | SCSS       |         32 |          9 |          7 |         48 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_modal.scss                     | SCSS       |        161 |         34 |         35 |        230 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_nav.scss                       | SCSS       |         78 |         19 |         24 |        121 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_navbar.scss                    | SCSS       |        194 |         46 |         55 |        295 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_pagination.scss                | SCSS       |         59 |          4 |         11 |         74 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_popover.scss                   | SCSS       |        142 |          5 |         25 |        172 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_print.scss                     | SCSS       |         84 |         33 |         25 |        142 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_progress.scss                  | SCSS       |         37 |          1 |          6 |         44 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_reboot.scss                    | SCSS       |        265 |        134 |         85 |        484 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_root.scss                      | SCSS       |         13 |          3 |          4 |         20 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_spinners.scss                  | SCSS       |         40 |          8 |          8 |         56 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_tables.scss                    | SCSS       |        121 |         28 |         37 |        186 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_toasts.scss                    | SCSS       |         38 |          0 |          7 |         45 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_tooltip.scss                   | SCSS       |         93 |          5 |         18 |        116 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_transitions.scss               | SCSS       |         17 |          0 |          4 |         21 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_type.scss                      | SCSS       |         82 |         20 |         24 |        126 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_utilities.scss                 | SCSS       |         17 |          0 |          1 |         18 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\_variables.scss                 | SCSS       |        756 |        100 |        268 |      1,124 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\bootstrap-grid.scss             | SCSS       |         18 |          6 |          6 |         30 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\bootstrap-reboot.scss           | SCSS       |          4 |          7 |          2 |         13 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\bootstrap.scss                  | SCSS       |         37 |          6 |          2 |         45 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_alert.scss              | SCSS       |         11 |          0 |          3 |         14 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_background-variant.scss | SCSS       |         16 |          2 |          4 |         22 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_badge.scss              | SCSS       |         15 |          0 |          3 |         18 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_border-radius.scss      | SCSS       |         52 |          2 |         10 |         64 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_box-shadow.scss         | SCSS       |         17 |          2 |          2 |         21 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_breakpoints.scss        | SCSS       |         69 |         44 |         11 |        124 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_buttons.scss            | SCSS       |         83 |         11 |         14 |        108 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_caret.scss              | SCSS       |         55 |          0 |          8 |         63 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_clearfix.scss           | SCSS       |          7 |          0 |          1 |          8 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_deprecate.scss          | SCSS       |          5 |          5 |          1 |         11 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_float.scss              | SCSS       |         12 |          1 |          2 |         15 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_forms.scss              | SCSS       |        152 |         15 |         26 |        193 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_gradients.scss          | SCSS       |         34 |          7 |          5 |         46 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_grid-framework.scss     | SCSS       |         49 |          8 |         10 |         67 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_grid.scss               | SCSS       |         34 |         10 |          8 |         52 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_hover.scss              | SCSS       |         23 |         10 |          5 |         38 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_image.scss              | SCSS       |         13 |         16 |          8 |         37 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_list-group.scss         | SCSS       |         17 |          1 |          4 |         22 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_lists.scss              | SCSS       |          4 |          2 |          2 |          8 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_nav-divider.scss        | SCSS       |          6 |          3 |          2 |         11 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_pagination.scss         | SCSS       |         19 |          1 |          3 |         23 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_reset-text.scss         | SCSS       |         16 |          1 |          1 |         18 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_resize.scss             | SCSS       |          4 |          1 |          2 |          7 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_screen-reader.scss      | SCSS       |         21 |          9 |          4 |         34 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_size.scss               | SCSS       |          5 |          1 |          2 |          8 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_table-row.scss          | SCSS       |         29 |          5 |          6 |         40 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_text-emphasis.scss      | SCSS       |         12 |          2 |          3 |         17 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_text-hide.scss          | SCSS       |          8 |          2 |          2 |         12 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_text-truncate.scss      | SCSS       |          5 |          2 |          2 |          9 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_transition.scss         | SCSS       |         14 |          1 |          2 |         17 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_visibility.scss         | SCSS       |          4 |          2 |          3 |          9 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_align.scss           | SCSS       |          6 |          1 |          2 |          9 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_background.scss      | SCSS       |         14 |          1 |          5 |         20 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_borders.scss         | SCSS       |         52 |          7 |         17 |         76 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_clearfix.scss        | SCSS       |          3 |          0 |          1 |          4 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_display.scss         | SCSS       |         13 |          7 |          7 |         27 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_embed.scss           | SCSS       |         33 |          1 |          6 |         40 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_flex.scss            | SCSS       |         39 |          4 |          9 |         52 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_float.scss           | SCSS       |          8 |          1 |          3 |         12 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_overflow.scss        | SCSS       |          3 |          1 |          2 |          6 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_position.scss        | SCSS       |         24 |          3 |          6 |         33 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_screenreaders.scss   | SCSS       |          6 |          3 |          3 |         12 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_shadows.scss         | SCSS       |          4 |          1 |          2 |          7 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_sizing.scss          | SCSS       |         11 |          3 |          7 |         21 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_spacing.scss         | SCSS       |         64 |          4 |          6 |         74 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_stretched-link.scss  | SCSS       |         13 |          5 |          2 |         20 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_text.scss            | SCSS       |         39 |         11 |         23 |         73 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_visibility.scss      | SCSS       |          6 |          4 |          4 |         14 |
| d:\Support\support\src\main\resources\static\Time\scss\bootstrap\vendor\_rfs.scss                | SCSS       |        126 |         43 |         36 |        205 |
| d:\Support\support\src\main\resources\static\Time\scss\style.scss                                | SCSS       |         72 |          3 |          8 |         83 |
| d:\Support\support\src\main\resources\static\css\Users.css                                       | CSS        |         27 |          3 |          4 |         34 |
| d:\Support\support\src\main\resources\static\css\bootstrap-datetimepicker.min.css                | CSS        |          1 |          7 |          0 |          8 |
| d:\Support\support\src\main\resources\static\css\styles.css                                      | CSS        |         81 |          0 |         13 |         94 |
| d:\Support\support\src\main\resources\static\js\bootstrap-datetimepicker.min.js                  | JavaScript |          1 |         25 |          0 |         26 |
| d:\Support\support\src\main\resources\templates\AddMachine.html                                  | HTML       |         43 |          0 |         21 |         64 |
| d:\Support\support\src\main\resources\templates\AddMachineFamilly.html                           | HTML       |         33 |          0 |         14 |         47 |
| d:\Support\support\src\main\resources\templates\AddUser.html                                     | HTML       |         46 |          0 |         21 |         67 |
| d:\Support\support\src\main\resources\templates\CloseSupport.html                                | HTML       |         72 |          0 |         25 |         97 |
| d:\Support\support\src\main\resources\templates\Debug.html                                       | HTML       |         12 |          0 |          0 |         12 |
| d:\Support\support\src\main\resources\templates\Index.html                                       | HTML       |         15 |          0 |          4 |         19 |
| d:\Support\support\src\main\resources\templates\ListSupport.html                                 | HTML       |        130 |          1 |         48 |        179 |
| d:\Support\support\src\main\resources\templates\MachinesList.html                                | HTML       |         55 |          0 |          8 |         63 |
| d:\Support\support\src\main\resources\templates\OpenSupport.html                                 | HTML       |         72 |          0 |         28 |        100 |
| d:\Support\support\src\main\resources\templates\UsersList.html                                   | HTML       |        116 |          0 |         31 |        147 |
| d:\Support\support\src\main\resources\templates\__error.html                                     | HTML       |         17 |          0 |          3 |         20 |
| d:\Support\support\src\main\resources\templates\info.html                                        | HTML       |         73 |          0 |         56 |        129 |
| d:\Support\support\src\test\java\com\support\support\SupportApplicationTests.java                | Java       |         63 |          0 |         21 |         84 |
| Total                                                                                            |            |     14,953 |      1,321 |      3,023 |     19,297 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
